step,minutes,train_loss,train_acc,val_loss,val_acc
1000,6.949662506580353,4.148648738861084,0.10546875,3.8605720703125,0.1092
2000,13.86637114683787,4.5113396644592285,0.0546875,4.2101357421875,0.0637
3000,20.213957266012827,4.543176174163818,0.0234375,4.34434375,0.0469
4000,26.578830647468568,4.599239349365234,0.01953125,4.595415625,0.0153
5000,32.93397319316864,4.591032028198242,0.04296875,4.38231015625,0.0344
6000,39.28053966363271,4.456357002258301,0.0390625,4.3025046875,0.0427
7000,45.63583977222443,4.311635494232178,0.046875,4.2230921875,0.0615
8000,51.98762131134669,4.429741859436035,0.046875,4.0870111328125,0.0804
9000,58.342578665415445,4.108933925628662,0.12109375,3.9052140625,0.1025
10000,64.69821522633235,4.269808769226074,0.0625,3.764896875,0.1318
11000,71.06098851760228,3.8751420974731445,0.1328125,3.57235361328125,0.1583
12000,77.42139719327291,4.2600297927856445,0.06640625,3.474546728515625,0.1782
13000,83.77806518475215,4.400026321411133,0.0625,3.324345654296875,0.2087
14000,90.1160008072853,4.094054222106934,0.109375,3.230763427734375,0.2238
15000,96.45740641355515,3.894550323486328,0.16015625,3.0731595947265626,0.2589
16000,102.81258432865143,4.106344223022461,0.109375,2.9956736328125,0.2717
17000,109.19122103850047,3.5110697746276855,0.21875,2.891038781738281,0.2921
18000,115.56245410442352,4.141175270080566,0.16796875,2.8325513793945314,0.3071
19000,121.93542296886444,4.170896530151367,0.15625,2.8250027954101564,0.3067
20000,128.31569098631542,3.980471611022949,0.17578125,2.816648571777344,0.3094
